spec_no,loc_ID_num,phylum,class,ordr,family,originalGenus,genus,subgenus,originalSubgenus,originalSpecies,species,subspecies,modifiers,num_individuals,element,field_num,Associated With ,ID by,ID date,Catalogued by,Notes
300664,V17014,Mollusca,,,,,,,,,,,,,mollusk hash,JPW 05-09-2012/1,"Associated with 300654,300655,300656,300657,300658,300659,300660,300661,300662,300663","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300665,V17013,Echinodermata ,,,,,,,,,,,,,test fragments,JPW 10-07-2012/4,"Associated with 300666,300667,300668,300669","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300666,V17013,Echinodermata ,,,,,,,,,,,,,test fragments,JPW 10-07-2012/4,"Associated with 300665,300667,300668,300669","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300667,V17013,Echinodermata ,,,,,,,,,,,,,test fragments,JPW 10-07-2012/4,"Associated with 300665,300666,300668,300669","Robins, Cristina",03-20-2018,"Mackenzie, Laura",cross scetion
300668,V17013,Echinodermata ,,,,,,,,,,,,,test fragments,JPW 10-07-2012/4,"Associated with 300665,300666,300667,30669","Robins, Cristina",03-20-2018,"Mackenzie, Laura",cross section
300669,V17013,Arthropoda,,,,,,,,,,,,,barnacle shell fragment,JPW 10-07-2012/4,"Associated with 300665,300666,300667,300668","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300670,V17017,,,,,,,,,,,,,,internal mold,JPW 03-20-2012/5,"Associated with 300671,300672,300673,300674,300675,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300671,V17017,,,,,,,,,,,,,,internal mold,JPW 03-20-2012/5,"Associated with 300670, 300672, 300673,300674,300675,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300672,V17017,,Bivalvia ,,,,,,,,,,,,internal mold,JPW 03-20-2012/5,"Associated with 300670,300671,300673,300674,300675,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300673,V17017,,,,,,,,,,,,,,external mold w/shell fragments,JPW 03-20-2012/5,"Associated with 300670,300671,300672,300674,300675,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300674,V17017,,,,,,Patinopecten,,,,,,,,shell fragment,JPW 03-20-2012/5,"Associated with 300670,300671,300672,300673,300675,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300675,V17017,,,,,,,,,,,,,,external mold w/shel fragments,JPW 03-20-2012/5,"Associated with 300670,300671,300672,300673,300674,300676,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300676,V17017,,Bivalvia,,,,,,,,,,,,external mold w/shell fragments,JPW 03-20-2012/5,"Associated with 300670,300671,300672,300673,300674,300675,300677","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300677,V17017,,Bivalvia,,,,,,,,,,,,cast,JPW 03-20-2012/5,"Associated with 300670,300671,300672,300673,300674,300675,300676","Robins, Cristina",03-20-2018,"Mackenzie, Laura",
300678,V17002,,Bivalvia,,,,,,,,,,,,shell,JPW 01-06-2014/2E,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300679,V17014,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 05-15-2012/3,Associated with 300680,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300680,V17014,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 05-15-2012/3,Associated with 300679,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300681,V17014,Mollusca,,,,,,,,,,,,,mollusk hash,JPW 05-15-2012/3,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300682,V17014,Mollusca,,,,,,,,,,,,,mollusk hash,JPW 05-15-2012/3,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300683,V17007,,,,,,Teredolites,,,,,,,,burrows,JPW 10-02-2014/2,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300684,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 09-03-2013/1,Associated with 300685,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300685,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 09-03-2013/1,Associated with 300684,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300686,V17012,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 10-21-2012/2,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300687,V17013,Arthropoda,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300688, 300689, 300690, 300691, 300692, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300688,V17013,Arthropoda,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300689, 300690, 300691, 300692, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300689,V17013,Arthropoda,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300690, 300691, 300692, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300690,V17013,,Gastropoda,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300689, 300691, 300692, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300691,V17013,,Gastropoda,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300689, 300690, 300692, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300692,V17013,Arthropoda,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300689, 300690, 300691, 300693, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300693,V17013,Arthropoda,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300689, 300690, 300691, 300692, 300694","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300694,V17013,,,,,,,,,,,,,,,JPW 10-07-2012/3,"Associated with 300687, 300688, 300689, 300690, 300691, 300692, 300693","Robins, Cristina",03-20-2018,"Gaffney, Conall",
300695,V17009,,,,,,Teredolites,,,,,,,,,JPW 07-18-2012/4,,"Robins, Cristina",03-20-2018,"Gaffney, Conall",
300696,V17013,,Bivalvia,,,,,,,,,,,,shell,JPW 11-16-2011/2B,"Associated with 300697, 300698, 300699, 300700, 300701,  300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300697,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300698,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300699,V17013,,Gastropoda,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300700,V17013,,Bivalvia,,,,,,,,,,,,shell fragments,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300701,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300702,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300703,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300704,V17013,,Bivalvia,,,,,,,,,,,,external mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 700714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300705,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300706,V17013,,Bivalvia,,,,,,,,,,,,external mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300707,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300708, 300709, 3007010, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300708,V17013,,Bivalvia,,,,,,,,,,,,external mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300709, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300709,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300710, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300710,V17013,,Gastropoda,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300711, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300711,V17013,,Bivalvia,,,,,,,,,,,,shell fragments,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300712, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300712,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300713, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300713,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300714, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300714,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712,300713, 300715","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300715,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 11-16-2011/2B,"Associated with 300696, 300697, 300698, 300699, 300700, 300701, 300702, 300703, 300704, 300705, 300706, 300707, 300708, 300709, 300710, 300711, 300712, 300713, 300714","Robins, Cristina",04-09-2018,"Dangsangtong, Peter",
300716,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300717,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300718,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300719,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300720,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300721,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300722,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300723,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300724,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300725,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300726,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300727,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300728,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300729, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300729,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300730, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300730,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300731, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300731,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300732, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300732,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300733, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300733,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300734, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300734,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300735, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300735,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300736","Robins, Cristina",04-11-2018,"Reich, Emma",
300736,V17011,,,,,,Teredolites,,,,,,,,burrows,JPW 11-18-2014/1,"Associated with 300716, 300717, 300718, 300719, 300720, 300721, 300722, 300723, 300724, 300725, 300726, 300727, 300728, 300729, 300730, 300731, 300732, 300733, 300734, 300735","Robins, Cristina",04-11-2018,"Reich, Emma",
300737,V17014,,Bivalvia,,,,,,,,,,,,external mold,JPW 05-15-2012/3,"Associated with 300738, 300739, 300740, 300741, 300742","Robins, Cristina",04-11-2018,"Reich, Emma",
300738,V17014,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 05-15-2012/3,"Associated with 300737, 300739, 300740, 300741, 300742","Robins, Cristina",04-11-2018,"Reich, Emma",
300739,V17014,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 05-15-2012/3,"Associated with 300737, 300738, 300740, 300741, 300742","Robins, Cristina",04-11-2018,"Reich, Emma",
300740,V17014,Mollusca,,,,,,,,,,,,,shell fragment,JPW 05-15-2012/3,"Associated with 300737, 300738, 300739, 300741, 300742","Robins, Cristina",04-11-2018,"Reich, Emma",
300741,V17014,Arthropoda,,,,,,,,,,,,,barnacle,JPW 05-15-2012/3,"Associated with 300737, 300738, 300739, 300740, 300742","Robins, Cristina",04-11-2018,"Reich, Emma",
300742,V17014,,Gastropoda,,,,,,,,,,,,external mold,JPW 05-15-2012/3,"Associated with 300737, 300738, 300739, 300740, 300741","Robins, Cristina",04-11-2018,"Reich, Emma",
300743,V17011,Arthropoda,,,,,,,,,,,,,external mold,JPW 01-31-2012/4,"Associated with 300747, 300748, 300749, 300750, 300751","Robins, Cristina",04-11-2018,"Reich, Emma",
300744,V17013,,Bivalvia,,,,,,,,,,,,shell fragments,JPW 08-27-2015/2,"Associated with 300745, 300746, 300747","Robins, Cristina",04-11-2018,"Reich, Emma",
300745,V17013,,Bivalvia,,,,,,,,,,,,external mold,JPW 08-27-2015/2,"Associated with 300744, 300746, 300747","Robins, Cristina",04-11-2018,"Reich, Emma",
300746,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 08-27-2015/2,"Associated with 300744, 300745, 300747","Robins, Cristina",04-11-2018,"Reich, Emma",
300747,V17013,Arthropoda,,,,,,,,,,,,,internal mold,JPW 08-27-2015/2,"Associated with 300744, 300745, 300746","Robins, Cristina",04-11-2018,"Reich, Emma",
300748,V17011,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 01-31-2012/4,"Associated with 300743, 300749, 300750, 300751","Robins, Cristina",04-11-2018,"Reich, Emma",
300749,V17011,Mollusca,,,,,,,,,,,,,external mold,JPW 01-31-2012/4,"Associated with 300743, 300748, 300750, 300751","Robins, Cristina",04-11-2018,"Reich, Emma",
300750,V17011,Arthropoda,,,,,,,,,,,,,internal mold,JPW 01-31-2012/4,"Associated with 300743, 300748, 300749, 300751","Robins, Cristina",04-11-2018,"Reich, Emma",
300751,V17011,Mollusca,,,,,,,,,,,,,mollusk hash,JPW 01-31-2012/4,"Associated with 300743, 300748, 300749, 300750. Associated with plant material","Robins, Cristina",04-11-2018,"Reich, Emma",
300752,V17017,Mollusca,,,,,,,,,,,,,shell fragments,JPW 01-23-2012/3,Associated with 300753,"Robins, Cristina",04-11-2018,"Reich, Emma",
300753,V17017,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 01-23-2012/3,Associated with 300752,"Robins, Cristina",04-11-2018,"Reich, Emma",
300754,V17017,Arthropoda,,,,,,,,,,,,,barnacle hash,JPW 02-28-2012/8,Associated with 300755,"Robins, Cristina",04-11-2018,"Reich, Emma",
300755,V17017,,Gastropoda,,,,,,,,,,,,internal mold,JPW 02-28-2012/8,Associated with 300754,"Robins, Cristina",04-11-2018,"Reich, Emma",
300756,V17011,,Gastropoda,,,,,,,,,,,,internal mold,JPW 04-17-2014/1,"Associated with 300757, 300758, 300759","Robins, Cristina",04-11-2018,"Reich, Emma",
300757,V17011,Mollusca,,,,,,,,,,,,,shell fragments,JPW 04-17-2014/1,"Associated with 300756, 300758, 300759","Robins, Cristina",04-11-2018,"Reich, Emma",
300758,V17011,,Gastropoda,,,,,,,,,,,,internal mold,JPW 04-17-2014/1,"Associated with 300756, 300757, 300759","Robins, Cristina",04-11-2018,"Reich, Emma",
300759,V17011,,Gastropoda,,,,,,,,,,,,hash,JPW 04-17-2014/1,"Associated with 300756, 300757, 300758","Robins, Cristina",04-11-2018,"Reich, Emma",
300760,V17017,,Gastropoda,,,,,,,,,,,,barnacle hash,JPW 03-22-2012/3,Associated with plant material,"Robins, Cristina",04-11-2018,"Reich, Emma",
300761,V17013,,Gastropoda,,,,,,,,,,,,internal mold,JPW 11-12-2013/2,Associated with 300762,"Robins, Cristina",04-11-2018,"Reich, Emma",
300762,V17013,Mollusca,,,,,,,,,,,,,shell fragment,JPW 11-12-2013/2,Associated with 300761,"Robins, Cristina",04-11-2018,"Reich, Emma",
300763,V17013,,Bivalvia,,,,,,,,,,,,internal mold,JPW 01-07-2016/2,,"Robins, Cristina",04-11-2018,"Reich, Emma",
300764,V17009,,Bivalvia,,,,,,,,,,,,cast,JPW 12-02-2013/3D,,"Robins, Cristina",04-13-2018,Laura Mackenzie,
300765,V17020,,Bivalvia ,,,,,,,,,,,,cast; shell fragments,JPW 03-06-2014/2,,"Robins, Cristina",04-13-2018,Laura Mackenzie,
300766,V17011,,Bivalvia ,,,,,,,,,,,,cast,JPW 10-20-2014/1,,"Robins, Cristina",04-13-2018,Laura Mackenzie,
300767,V17013,,Bivalvia,,,,,,,,,,,,cast,JPW 05-01-2014/1,,"Robins, Cristina",04-13-2018,Laura Mackenzie,
300768,V17017,,Gastropoda,,,,,,,,,,,,shell,JPW 03-14-2012/4,"Associated with plant material,
300769, 300770, 300771, 300772, 300773, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300769,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300770, 300771, 300772, 300773, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300770,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300771, 300772, 300773, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300771,V17017,,Gastropoda,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300772, 300773, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300772,V17017,,Gastropoda,,,,,,,,,,,,shell,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300773, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300773,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300772, 300774, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300774,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300772, 300773, 300775, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300775,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300772, 300773, 300774, 300776, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300776,V17017,,Bivalvia,,,,,,,,,,,,shell fragment ,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300772, 300773, 300774, 300775, 300777, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
300777,V17017,,Bivalvia,,,,,,,,,,,,shell fragment,JPW 03-14-2012/4,"Associated with 300768, 300769, 300770, 300771, 300772, 300773, 300774, 300775, 300776, 300778, 300779, 300780, 300781, 300782, 300783, 300784, 300785, 300786, 300787, 300788, 300789, 300790, 300791, 300792, 300793, 300794, 300795","Robins, Cristina",04-13-2018,Laura Mackenzie,
